date,time,latitude,longitude,elevation,heart_rate,cadence
2018-6-6,15:23:43,50.88704486377537250518798828125,4.7090556286275386810302734375,39,150,72
2018-6-6,15:23:45,50.887001194059848785400390625,4.7090891562402248382568359375,39.40000152587890625,147,72
2018-6-6,15:23:53,50.88687303476035594940185546875,4.70929375849664211273193359375,39,148,72
2018-6-6,15:24:1,50.8867795765399932861328125,4.709537923336029052734375,39.40000152587890625,147,72
2018-6-6,15:24:9,50.88666516356170177459716796875,4.70979885198175907135009765625,39.799999237060546875,146,73
2018-6-6,15:24:18,50.88656927458941936492919921875,4.710056595504283905029296875,40.200000762939453125,147,72
2018-6-6,15:24:27,50.88647338561713695526123046875,4.7103085555136203765869140625,40.40000152587890625,148,72
2018-6-6,15:24:30,50.886427871882915496826171875,4.71038759686052799224853515625,40.40000152587890625,146,72
2018-6-6,15:24:40,50.8863120339810848236083984375,4.71052153967320919036865234375,40.200000762939453125,145,51
2018-6-6,15:24:43,50.88630490936338901519775390625,4.71057183109223842620849609375,40.40000152587890625,145,51
2018-6-6,15:24:44,50.88630172424018383026123046875,4.7105906903743743896484375,40.40000152587890625,146,51
2018-6-6,15:24:46,50.88630088604986667633056640625,4.71061776392161846160888671875,40.200000762939453125,143,43
2018-6-6,15:24:53,50.88629820384085178375244140625,4.71061709336936473846435546875,40.799999237060546875,140,0
2018-6-6,15:24:57,50.8862940967082977294921875,4.71062346361577510833740234375,40.200000762939453125,137,0
2018-6-6,15:25:9,50.8862860500812530517578125,4.71062581054866313934326171875,40.59999847412109375,136,59
2018-6-6,15:25:14,50.88625528849661350250244140625,4.71067241393029689788818359375,40.40000152587890625,132,53
2018-6-6,15:25:22,50.88619225658476352691650390625,4.710811637341976165771484375,40.200000762939453125,132,52
2018-6-6,15:25:23,50.88618303649127483367919921875,4.71083183772861957550048828125,40.200000762939453125,129,52
2018-6-6,15:25:28,50.88613173924386501312255859375,4.71094608306884765625,40.200000762939453125,126,52
